ID,Address,City,State,Country,Lat,Long
100102,1301 S 6th St, Austin, TX 78704, USA,30.2537208,-97.75964499999999
100104,1304 S 5th St, Austin, TX 78704, USA,30.2532507,-97.75926299999999
100105,1306 S 5th St, Austin, TX 78704, USA,30.25307829999999,-97.75933730000001
100106,1308 S 5th St, Austin, TX 78704, USA,30.2529719,-97.7594328
100107,1402 S 5th St, Austin, TX 78704, USA,30.25288,-97.759551
100108,S 5th St, Austin, TX 78704, USA,30.2452205,-97.764029
100109,1403 S 6th St, Austin, TX 78704, USA,30.2529447,-97.7600801
100110,1401 S 6th St, Austin, TX 78704, USA,30.2531209,-97.7599422
100111,1406 S 5th St, Austin, TX 78704, USA,30.25238629999999,-97.759712
100112,1002 Jewell St, Austin, TX 78704, USA,30.2523594,-97.7599422
100113,1004 Jewell St, Austin, TX 78704, USA,30.2524545,-97.7600377
100114,1006 Jewell St, Austin, TX 78704, USA,30.2525235,-97.7601969
100115,1008 Jewell St, Austin, TX 78704, USA,30.2525725,-97.76031359999999
100116,Jewell St, Austin, TX 78704, USA,30.251439,-97.7583945
100117,1003 W Gibson St, Austin, TX 78704, USA,30.2534696,-97.7593479
100118,1106 S 5th St, Austin, TX 78704, USA,30.2548733,-97.75814869999999
100119,1108 S 5th St, Austin, TX 78704, USA,30.2547444,-97.7582442
100120,1110 S 5th St, Austin, TX 78704, USA,30.254605,-97.7583291
100121,1112 S 5th St, Austin, TX 78704, USA,30.2545079,-97.7584565
100122,1114 S 5th St, Austin, TX 78704, USA,30.254371,-97.75849889999999
100123,1200 S 5th St, Austin, TX 78704, USA,30.2542714,-97.7586687
100124,1206 S 5th St, Austin, TX 78704, USA,30.2540846,-97.7587961
100125,1208 S 5th St, Austin, TX 78704, USA,30.2539186,-97.7587642
100126,1212 S 5th St, Austin, TX 78704, USA,30.2538033,-97.75900829999999
100127,1213 S 6th St, Austin, TX 78704, USA,30.2540021,-97.7594328
100128,1211 S 6th St, Austin, TX 78704, USA,30.2540967,-97.7593479
100129,1209 S 6th St, Austin, TX 78704, USA,30.2542361,-97.75926299999999
100130,1205 S 6th St, Austin, TX 78704, USA,30.2543755,-97.7591781
100131,1107 S 6th St, Austin, TX 78704, USA,30.2549805,-97.7587961
100132,1203 S 6th St, Austin, TX 78704, USA,30.2545124,-97.7591357
100133,1201 S 6th St, Austin, TX 78704, USA,30.2545952,-97.7590614
100134,1111 S 6th St, Austin, TX 78704, USA,30.254711,-97.7589977
100135,1109 S 6th St, Austin, TX 78704, USA,30.2548516,-97.7588916
100136,1105 S 6th St, Austin, TX 78704, USA,30.2550751,-97.75871120000001
100137,1103 S 6th St, Austin, TX 78704, USA,30.2552145,-97.75862629999999
100138,906 W Milton St, Austin, TX 78704, USA,30.2503951,-97.75945399999999
100139,917 Jewell St, Austin, TX 78704, USA,30.251837,-97.7596875
100140,915 Jewell St, Austin, TX 78704, USA,30.2517998,-97.7595601
100141,913 Jewell St, Austin, TX 78704, USA,30.2517177,-97.7594328
100142,911 Jewell St, Austin, TX 78704, USA,30.2516948,-97.7592524
100143,909 Jewell St, Austin, TX 78704, USA,30.2515985,-97.7591781
100144,907 Jewell St, Austin, TX 78704, USA,30.25151899999999,-97.75900829999999
100145,905 Jewell St, Austin, TX 78704, USA,30.2514817,-97.758881
100146,1500 Bouldin Ave, Austin, TX 78704, USA,30.2514047,-97.7586687
100147,1502 Bouldin Ave, Austin, TX 78704, USA,30.2513008,-97.75872179999999
100148,1504 Bouldin Ave, Austin, TX 78704, USA,30.2511732,-97.7587961
100149,1506 Bouldin Ave, Austin, TX 78704, USA,30.2510363,-97.7588385
100150,1508 Bouldin Ave, Austin, TX 78704, USA,30.2509392,-97.75896589999999
100151,904 W Monroe St, Austin, TX 78704, USA,30.25106349999999,-97.7591357
100152,906 W Monroe St, Austin, TX 78704, USA,30.251143,-97.7593054
100153,908 W Monroe St, Austin, TX 78704, USA,30.2512276,-97.75939029999999
100154,910 W Monroe St, Austin, TX 78704, USA,30.2512623,-97.7595601
100155,912 W Monroe St, Austin, TX 78704, USA,30.251357,-97.759614
100156,914 W Monroe St, Austin, TX 78704, USA,30.2513498,-97.759783
100157,916 W Monroe St, Austin, TX 78704, USA,30.2515345,-97.7598785
100158,1403 S 5th St, Austin, TX 78704, USA,30.2524918,-97.7592205
100159,915 W Elizabeth St, Austin, TX 78704, USA,30.2525809,-97.75904009999999
100160,913 W Elizabeth St, Austin, TX 78704, USA,30.2525094,-97.75892340000001
100161,911 W Elizabeth St, Austin, TX 78704, USA,30.2524722,-97.7587961
100162,1406 Bouldin Ave, Austin, TX 78704, USA,30.2518229,-97.758414
100163,900 Jewell St, Austin, TX 78704, USA,30.2516861,-97.7584565
100164,902 Jewell St, Austin, TX 78704, USA,30.2517233,-97.7585838
100165,904 Jewell St, Austin, TX 78704, USA,30.2518501,-97.75871120000001
100166,906 Jewell St, Austin, TX 78704, USA,30.2518874,-97.7588385
100167,908 Jewell St, Austin, TX 78704, USA,30.251986,-97.7588959
100168,910 Jewell St, Austin, TX 78704, USA,30.252048,-97.759025
100169,912 Jewell St, Austin, TX 78704, USA,30.2520887,-97.7592205
100170,914 Jewell St, Austin, TX 78704, USA,30.2521259,-97.7593479
100171,916 Jewell St, Austin, TX 78704, USA,30.252233,-97.75940899999999
100172,909 W Elizabeth St, Austin, TX 78704, USA,30.252321,-97.758685
100173,907 W Elizabeth St, Austin, TX 78704, USA,30.25226,-97.758557
100174,1400 Bouldin Ave, Austin, TX 78704, USA,30.2521964,-97.7581593
100175,1402 Bouldin Ave, Austin, TX 78704, USA,30.2520967,-97.7583291
100176,1404 Bouldin Ave, Austin, TX 78704, USA,30.25195179999999,-97.7583185
100177,905 W Elizabeth St, Austin, TX 78704, USA,30.2523131,-97.7584565
100178,1303 S 5th St, Austin, TX 78704, USA,30.2532902,-97.7587855
100179,1301 S 5th St, Austin, TX 78704, USA,30.2534203,-97.7586687
100180,915 W Gibson St, Austin, TX 78704, USA,30.2533383,-97.7585414
100181,913 W Gibson St, Austin, TX 78704, USA,30.2532905,-97.75840339999999
100182,911 W Gibson St, Austin, TX 78704, USA,30.2531717,-97.7583291
100183,909 W Gibson St, Austin, TX 78704, USA,30.253137,-97.7581593
100184,907 W Gibson St, Austin, TX 78704, USA,30.2530655,-97.7580426
100185,905 W Gibson St, Austin, TX 78704, USA,30.2530296,-97.757894
100186,903 W Gibson St, Austin, TX 78704, USA,30.2529911,-97.7577879
100187,901 W Gibson St, Austin, TX 78704, USA,30.2528984,-97.75765
100188,1304 Bouldin Ave, Austin, TX 78704, USA,30.2524777,-97.7579471
100189,904 W Elizabeth St, Austin, TX 78704, USA,30.2525522,-97.7582018
100190,908 W Elizabeth St, Austin, TX 78704, USA,30.2527163,-97.7584565
100191,910 W Elizabeth St, Austin, TX 78704, USA,30.2528114,-97.758552
100192,1305 S 5th St, Austin, TX 78703, USA,30.2531087,-97.75884529999999
100193,912 W Elizabeth St, Austin, TX 78704, USA,30.2527907,-97.75871120000001
100194,914 W Elizabeth St, Austin, TX 78704, USA,30.2529176,-97.7588385
100195,916 W Elizabeth St, Austin, TX 78704, USA,30.2529417,-97.7589977
100196,917 W James St, Austin, TX 78704, USA,30.254212,-97.7581593
100197,915 W James St, Austin, TX 78704, USA,30.25413,-97.758032
100198,913 W James St, Austin, TX 78704, USA,30.2540927,-97.75790470000001
100200,907 W James St, Austin, TX 78704, USA,30.2538416,-97.75760749999999
100201,905 W James St, Austin, TX 78704, USA,30.2538094,-97.7573953
100202,1200 Bouldin Ave, Austin, TX 78704, USA,30.2537772,-97.757183
100203,1202 Bouldin Ave, Austin, TX 78704, USA,30.2536378,-97.7572679
100204,900 W Gibson St, Austin, TX 78704, USA,30.2532694,-97.7574377
100205,902 W Gibson St, Austin, TX 78704, USA,30.2533066,-97.75756510000001
100206,906 W Gibson St, Austin, TX 78704, USA,30.2533886,-97.7576924
100207,908 W Gibson St, Austin, TX 78704, USA,30.2535434,-97.7579153
100208,910 W Gibson St, Austin, TX 78704, USA,30.2535899,-97.7580744
100209,912 W Gibson St, Austin, TX 78704, USA,30.2536272,-97.7582018
100210,914 W Gibson St, Austin, TX 78704, USA,30.2537092,-97.7583291
100211,916 W Gibson St, Austin, TX 78704, USA,30.2538,-97.75843739999999
100212,1104 Bouldin Ave, Austin, TX 78704, USA,30.2541979,-97.7568859
100213,1106 Bouldin Ave, Austin, TX 78704, USA,30.2541033,-97.75697079999999
100214,902 W James St, Austin, TX 78704, USA,30.2542276,-97.7571406
100215,904 W James St, Austin, TX 78704, USA,30.2542978,-97.75727859999999
100216,906 W James St, Austin, TX 78704, USA,30.2543469,-97.7573953
100217,908 W James St, Austin, TX 78704, USA,30.25438159999999,-97.75756510000001
100218,910 W James St, Austin, TX 78704, USA,30.2545109,-97.75765
100219,912 W James St, Austin, TX 78704, USA,30.2544916,-97.7577879
